Time,Plant_Type,Temperature_C,Humidity_%,Soil_Moisture_%,Rainfall_mm,Dew_Point_C,Health_Percentage
2024-05-05 00:00:00,Maize,32.97,61.93,63.55,8.81,13.73,70.23
2024-05-05 06:00:00,Maize,25.19,53.72,69.45,15.83,26.11,64.75
2024-05-05 12:00:00,Maize,41.51,90.22,19.03,0.25,30.74,5.0
2024-05-05 18:00:00,Maize,26.42,73.08,68.93,9.77,18.45,100.0
2024-05-06 00:00:00,Maize,20.11,77.42,66.98,8.74,16.44,53.5
2024-05-06 06:00:00,Maize,20.13,73.14,78.19,11.97,24.43,48.88
2024-05-06 12:00:00,Maize,27.82,73.94,74.86,6.71,26.11,57.97
2024-05-06 18:00:00,Maize,25.24,68.71,67.74,13.36,21.72,91.67
2024-05-07 00:00:00,Maize,41.55,49.65,20.66,0.26,14.07,25.97
2024-05-07 06:00:00,Maize,24.33,68.78,51.64,17.34,17.75,53.06
2024-05-07 12:00:00,Maize,19.68,75.14,74.61,12.0,17.3,77.0
2024-05-07 18:00:00,Maize,29.98,63.6,67.96,18.29,20.12,71.56
2024-05-08 00:00:00,Maize,27.01,62.77,68.57,4.6,21.04,95.37
2024-05-08 06:00:00,Maize,20.12,56.57,63.26,5.14,15.03,61.61
2024-05-08 12:00:00,Maize,25.18,67.25,67.68,7.83,23.39,84.87
2024-05-08 18:00:00,Maize,26.59,73.17,68.49,9.58,24.6,85.05
2024-05-09 00:00:00,Maize,22.35,68.12,62.78,10.46,15.46,98.54
2024-05-09 06:00:00,Maize,23.36,61.85,61.9,9.19,17.46,93.98
2024-05-09 12:00:00,Maize,46.84,33.32,91.43,0.01,32.69,19.5
2024-05-09 18:00:00,Maize,19.34,56.96,60.06,3.67,26.35,59.57
2024-05-10 00:00:00,Maize,35.84,34.74,31.79,0.29,10.9,35.4
2024-05-10 06:00:00,Maize,31.91,59.86,52.18,7.95,23.74,84.59
2024-05-10 12:00:00,Maize,28.99,63.37,72.46,7.99,19.1,100.0
2024-05-10 18:00:00,Maize,27.85,68.68,66.3,12.33,23.04,98.4
2024-05-11 00:00:00,Maize,27.54,66.24,62.1,9.49,19.03,92.01
2024-05-11 06:00:00,Maize,23.27,73.19,74.24,13.07,24.92,93.26
2024-05-11 12:00:00,Maize,28.37,63.71,64.51,8.08,20.91,69.72
2024-05-11 18:00:00,Maize,26.98,72.78,56.3,2.43,17.32,68.91
2024-05-12 00:00:00,Maize,22.66,67.89,70.85,15.54,23.03,67.74
2024-05-12 06:00:00,Maize,25.35,67.71,68.99,6.88,15.06,94.31
2024-05-12 12:00:00,Maize,27.88,68.77,60.36,13.41,16.74,94.6
2024-05-12 18:00:00,Maize,24.7,77.1,65.64,5.34,12.34,72.72
2024-05-13 00:00:00,Maize,31.47,74.68,67.91,9.3,23.25,72.67
2024-05-13 06:00:00,Maize,23.59,64.6,63.7,9.55,20.88,93.82
2024-05-13 12:00:00,Maize,20.14,56.81,52.63,10.81,15.21,61.93
2024-05-13 18:00:00,Maize,27.2,71.98,70.03,13.33,15.2,86.04
2024-05-14 00:00:00,Maize,37.13,43.26,36.94,2.04,14.66,33.79
2024-05-14 06:00:00,Maize,33.44,47.95,26.93,0.77,11.1,35.65
2024-05-14 12:00:00,Maize,37.5,34.78,40.25,2.27,13.8,31.89
2024-05-14 18:00:00,Maize,46.46,94.96,93.03,34.48,30.75,5.0
2024-05-15 00:00:00,Maize,29.21,57.79,67.25,10.58,16.68,66.27
2024-05-15 06:00:00,Maize,25.24,62.98,64.04,11.83,24.09,94.07
2024-05-15 12:00:00,Maize,41.07,33.66,45.38,2.87,11.88,36.38
2024-05-15 18:00:00,Maize,23.99,72.13,64.75,12.75,18.02,97.81
2024-05-16 00:00:00,Maize,39.88,43.81,24.4,2.84,13.41,33.89
2024-05-16 06:00:00,Maize,20.68,74.47,59.36,16.64,14.06,77.65
2024-05-16 12:00:00,Maize,27.3,72.18,71.28,13.46,18.13,100.0
2024-05-16 18:00:00,Maize,39.1,47.46,27.57,0.51,10.27,30.56
2024-05-17 00:00:00,Maize,30.89,56.71,61.5,16.22,20.23,55.76
2024-05-17 06:00:00,Maize,25.45,75.23,74.86,14.06,13.58,79.75
2024-05-17 12:00:00,Maize,28.76,76.62,60.89,14.33,13.69,62.04
2024-05-17 18:00:00,Maize,22.79,78.38,57.46,7.07,23.63,61.96
2024-05-18 00:00:00,Maize,22.09,74.64,68.16,7.69,18.57,83.06
2024-05-18 06:00:00,Maize,37.55,32.77,35.23,2.95,11.25,26.37
2024-05-18 12:00:00,Maize,27.34,63.82,62.45,15.35,14.94,74.49
2024-05-18 18:00:00,Maize,22.59,66.36,72.56,7.45,20.94,88.3
2024-05-19 00:00:00,Maize,31.89,53.53,60.35,5.47,18.28,57.81
2024-05-19 06:00:00,Maize,22.96,70.86,61.01,13.29,19.31,88.54
2024-05-19 12:00:00,Maize,23.88,69.4,61.24,14.22,13.66,53.26
2024-05-19 18:00:00,Maize,36.07,43.51,33.33,1.53,14.31,33.48
2024-05-20 00:00:00,Maize,28.22,74.83,66.91,8.83,24.87,100.0
2024-05-20 06:00:00,Maize,48.58,25.1,20.6,0.47,33.73,5.0
2024-05-20 12:00:00,Maize,33.01,34.82,29.23,0.7,10.34,28.24
2024-05-20 18:00:00,Maize,24.28,77.35,76.28,10.38,16.95,54.51
2024-05-21 00:00:00,Maize,40.6,27.46,14.47,21.84,32.44,7.43
2024-05-21 06:00:00,Maize,20.09,58.91,78.66,16.61,14.53,73.36
2024-05-21 12:00:00,Maize,26.09,74.02,71.54,13.09,23.2,98.08
2024-05-21 18:00:00,Maize,25.02,68.17,65.9,5.6,21.91,84.85
2024-05-22 00:00:00,Maize,26.03,71.09,71.95,10.46,16.56,94.83
2024-05-22 06:00:00,Maize,19.56,78.76,58.22,18.21,17.28,49.02
2024-05-22 12:00:00,Maize,25.14,62.12,74.22,11.64,16.09,100.0
2024-05-22 18:00:00,Maize,27.02,62.19,62.88,13.38,24.18,98.3
2024-05-23 00:00:00,Maize,30.32,61.37,52.07,7.33,21.53,61.22
2024-05-23 06:00:00,Maize,36.44,33.93,23.97,0.71,11.5,28.41
2024-05-23 12:00:00,Maize,28.75,75.07,60.88,5.47,19.04,72.24
2024-05-23 18:00:00,Maize,19.35,60.85,70.7,2.95,21.15,59.39
2024-05-24 00:00:00,Maize,20.13,60.34,54.41,3.53,25.66,46.99
2024-05-24 06:00:00,Maize,29.41,74.49,62.43,6.06,22.42,95.34
2024-05-24 12:00:00,Maize,37.99,33.91,36.04,0.5,14.58,31.15
2024-05-24 18:00:00,Maize,29.62,68.96,71.07,12.81,15.5,87.44
2024-05-25 00:00:00,Maize,22.18,77.74,72.32,9.2,17.13,76.16
2024-05-25 06:00:00,Maize,31.73,73.34,67.07,15.8,17.13,53.88
2024-05-25 12:00:00,Maize,36.27,48.82,43.82,1.87,13.71,44.3
2024-05-25 18:00:00,Maize,25.22,66.76,70.11,11.49,18.57,100.0
2024-05-26 00:00:00,Maize,27.99,63.06,68.19,6.92,22.49,91.48
2024-05-26 06:00:00,Maize,37.73,35.04,41.22,1.34,10.62,26.15
2024-05-26 12:00:00,Maize,22.31,63.64,74.66,10.63,23.39,96.99
2024-05-26 18:00:00,Maize,29.24,79.31,73.09,11.75,17.12,66.64
2024-05-27 00:00:00,Maize,29.18,64.92,61.79,12.16,20.97,95.76
2024-05-27 06:00:00,Maize,28.96,71.65,61.32,12.48,16.82,92.78
2024-05-27 12:00:00,Maize,27.65,69.53,68.03,5.96,17.12,86.76
2024-05-27 18:00:00,Maize,39.0,49.06,33.06,2.16,14.65,24.39
2024-05-28 00:00:00,Maize,22.42,61.82,70.89,7.03,20.32,92.4
2024-05-28 06:00:00,Maize,27.64,72.37,79.09,17.68,23.43,68.2
2024-05-28 12:00:00,Maize,27.33,69.04,69.35,8.9,20.29,86.79
2024-05-28 18:00:00,Maize,34.67,38.72,22.55,1.97,12.19,35.53
2024-05-29 00:00:00,Maize,23.86,77.83,77.99,10.54,16.92,71.29
2024-05-29 06:00:00,Maize,29.36,68.29,60.18,11.41,19.85,84.16
2024-05-29 12:00:00,Maize,45.18,31.44,92.37,0.21,33.86,10.82
2024-05-29 18:00:00,Maize,33.56,32.38,37.3,0.11,10.26,41.63
2024-05-30 00:00:00,Maize,22.36,72.66,66.57,6.62,19.22,91.35
2024-05-30 06:00:00,Maize,23.65,54.99,59.47,8.24,13.49,67.96
2024-05-30 12:00:00,Maize,49.7,88.71,96.01,26.83,31.37,10.91
2024-05-30 18:00:00,Maize,40.56,92.1,23.69,0.69,33.96,10.35
2024-05-31 00:00:00,Maize,20.39,78.98,50.48,8.41,21.05,53.69
2024-05-31 06:00:00,Maize,20.77,73.46,67.45,8.91,25.2,69.4
2024-05-31 12:00:00,Maize,38.61,36.19,23.94,0.61,14.54,29.77
2024-05-31 18:00:00,Maize,28.05,63.39,67.11,10.17,15.4,94.01
2024-06-01 00:00:00,Maize,21.07,57.85,79.54,4.22,15.05,77.34
2024-06-01 06:00:00,Maize,22.28,72.25,66.69,12.85,15.87,89.57
