Time,Plant_Type,Temperature_C,Humidity_%,Soil_Moisture_%,Rainfall_mm,Dew_Point_C,Health_Percentage
2025-01-10 00:00:00,Potato,27.13,44.44,32.95,1.79,8.44,30.1
2025-01-10 06:00:00,Potato,16.61,84.42,81.88,9.27,16.1,86.7
2025-01-10 12:00:00,Potato,14.74,88.13,78.34,6.33,18.94,48.12
2025-01-10 18:00:00,Potato,15.08,73.69,71.2,8.11,17.54,75.83
2025-01-11 00:00:00,Potato,15.31,85.91,68.12,12.72,14.92,49.14
2025-01-11 06:00:00,Potato,40.84,31.16,17.75,27.91,25.34,5.0
2025-01-11 12:00:00,Potato,30.62,36.52,38.72,1.0,11.8,31.51
2025-01-11 18:00:00,Potato,28.06,47.55,27.15,2.0,10.56,27.66
2025-01-12 00:00:00,Potato,13.9,74.18,88.75,13.6,17.66,67.81
2025-01-12 06:00:00,Potato,29.98,33.42,39.54,0.25,8.7,24.67
2025-01-12 12:00:00,Potato,39.84,39.68,95.18,0.21,26.46,24.97
2025-01-12 18:00:00,Potato,21.09,78.94,82.96,10.74,18.5,100.0
2025-01-13 00:00:00,Potato,29.97,59.88,58.71,0.35,11.25,44.04
2025-01-13 06:00:00,Potato,19.04,73.2,83.06,9.26,19.52,88.48
2025-01-13 12:00:00,Potato,18.29,79.7,75.58,16.61,14.88,71.21
2025-01-13 18:00:00,Potato,21.61,63.59,76.74,5.89,12.71,59.49
2025-01-14 00:00:00,Potato,13.22,69.43,82.67,8.27,15.86,59.75
2025-01-14 06:00:00,Potato,16.51,81.79,72.62,19.55,20.61,62.37
2025-01-14 12:00:00,Potato,32.04,25.91,22.36,0.85,28.11,15.05
2025-01-14 18:00:00,Potato,40.15,85.81,24.73,0.34,28.09,5.0
2025-01-15 00:00:00,Potato,14.12,71.63,87.63,18.44,21.28,48.87
2025-01-15 06:00:00,Potato,37.18,39.1,11.65,33.01,25.57,5.0
2025-01-15 12:00:00,Potato,32.17,35.34,93.69,34.48,24.13,12.45
2025-01-15 18:00:00,Potato,26.63,49.16,58.36,2.54,9.7,40.69
2025-01-16 00:00:00,Potato,37.82,92.14,99.53,0.08,24.41,5.49
2025-01-16 06:00:00,Potato,18.05,63.19,62.97,14.46,15.99,59.67
2025-01-16 12:00:00,Potato,22.93,79.95,72.83,19.21,19.92,59.13
2025-01-16 18:00:00,Potato,24.78,87.97,75.55,9.92,21.98,68.24
2025-01-17 00:00:00,Potato,19.52,70.49,74.12,13.21,14.21,97.32
2025-01-17 06:00:00,Potato,35.62,96.89,96.1,26.06,29.04,5.0
2025-01-17 12:00:00,Potato,24.41,84.88,78.76,14.11,19.91,75.07
2025-01-17 18:00:00,Potato,21.42,62.11,66.82,8.83,21.6,68.56
2025-01-18 00:00:00,Potato,15.31,66.76,70.68,4.81,20.79,77.58
2025-01-18 06:00:00,Potato,17.81,81.61,73.01,12.13,17.08,86.13
2025-01-18 12:00:00,Potato,41.7,86.19,13.35,1.16,26.65,11.41
2025-01-18 18:00:00,Potato,19.93,71.0,70.65,10.52,12.84,84.63
2025-01-19 00:00:00,Potato,19.39,73.04,80.55,11.68,13.46,100.0
2025-01-19 06:00:00,Potato,41.38,39.3,23.28,0.76,23.64,5.0
2025-01-19 12:00:00,Potato,33.5,51.48,44.43,2.29,8.31,30.34
2025-01-19 18:00:00,Potato,33.4,86.29,95.93,0.1,25.77,7.66
2025-01-20 00:00:00,Potato,21.31,74.16,75.96,9.58,19.94,61.85
2025-01-20 06:00:00,Potato,16.57,64.61,74.12,3.78,10.45,57.86
2025-01-20 12:00:00,Potato,23.19,88.18,67.07,19.23,21.47,72.4
2025-01-20 18:00:00,Potato,19.7,89.89,85.5,11.64,13.49,46.48
2025-01-21 00:00:00,Potato,19.05,82.37,78.33,10.05,19.33,96.56
2025-01-21 06:00:00,Potato,31.08,35.69,26.81,2.78,7.16,29.7
2025-01-21 12:00:00,Potato,19.99,75.41,82.59,9.27,19.86,99.57
2025-01-21 18:00:00,Potato,18.47,71.64,80.74,7.7,12.37,95.85
2025-01-22 00:00:00,Potato,25.22,57.97,47.01,0.71,10.47,51.69
2025-01-22 06:00:00,Potato,17.03,78.26,65.09,11.22,18.47,65.63
2025-01-22 12:00:00,Potato,17.76,73.99,73.17,5.95,14.77,86.53
2025-01-22 18:00:00,Potato,20.01,78.72,80.75,14.59,12.17,97.27
2025-01-23 00:00:00,Potato,40.62,34.02,14.9,24.76,26.78,19.51
2025-01-23 06:00:00,Potato,25.58,37.06,44.85,1.67,11.78,45.96
2025-01-23 12:00:00,Potato,16.5,76.91,67.03,4.94,16.14,46.77
2025-01-23 18:00:00,Potato,39.27,87.77,11.39,32.53,27.31,8.56
2025-01-24 00:00:00,Potato,24.13,76.36,87.96,8.2,14.97,55.41
2025-01-24 06:00:00,Potato,17.19,83.31,77.19,10.66,17.45,97.96
2025-01-24 12:00:00,Potato,18.37,63.42,79.77,11.39,12.85,59.77
2025-01-24 18:00:00,Potato,28.75,55.69,49.75,0.93,8.96,30.86
2025-01-25 00:00:00,Potato,25.4,50.38,32.34,1.7,9.18,39.33
2025-01-25 06:00:00,Potato,23.81,86.3,67.83,13.95,9.26,66.97
2025-01-25 12:00:00,Potato,21.98,74.46,83.09,7.57,15.05,87.06
2025-01-25 18:00:00,Potato,14.97,84.75,85.38,11.1,20.09,45.49
2025-01-26 00:00:00,Potato,19.72,78.51,76.87,13.99,19.76,96.72
2025-01-26 06:00:00,Potato,20.4,76.69,76.47,8.09,16.86,88.27
2025-01-26 12:00:00,Potato,15.09,71.25,61.91,6.93,20.56,52.18
2025-01-26 18:00:00,Potato,13.55,89.67,60.22,14.2,13.75,59.78
2025-01-27 00:00:00,Potato,18.07,83.24,79.74,6.84,18.72,84.13
2025-01-27 06:00:00,Potato,40.79,37.55,99.33,33.05,28.58,9.09
2025-01-27 12:00:00,Potato,27.36,33.24,33.14,2.81,8.46,31.31
2025-01-27 18:00:00,Potato,20.67,76.53,82.83,8.78,17.98,99.67
2025-01-28 00:00:00,Potato,27.04,41.63,55.53,1.73,11.16,34.95
2025-01-28 06:00:00,Potato,26.55,54.99,36.83,0.06,7.56,52.88
2025-01-28 12:00:00,Potato,21.85,75.42,72.74,12.53,17.26,99.85
2025-01-28 18:00:00,Potato,18.65,78.94,72.33,7.51,14.67,94.21
2025-01-29 00:00:00,Potato,16.55,76.43,80.29,13.65,17.56,81.81
2025-01-29 06:00:00,Potato,33.92,50.48,41.25,0.71,9.19,46.94
2025-01-29 12:00:00,Potato,17.59,80.68,76.68,8.76,19.42,90.29
2025-01-29 18:00:00,Potato,19.94,70.84,72.46,6.21,19.44,92.93
2025-01-30 00:00:00,Potato,27.99,44.85,43.71,2.84,10.74,44.08
2025-01-30 06:00:00,Potato,24.13,69.56,67.72,9.99,12.16,51.94
2025-01-30 12:00:00,Potato,30.02,54.93,54.45,0.85,9.74,31.04
2025-01-30 18:00:00,Potato,16.63,69.05,73.82,9.37,19.4,76.53
2025-01-31 00:00:00,Potato,18.81,70.79,83.11,13.89,13.75,100.0
2025-01-31 06:00:00,Potato,25.91,46.15,33.88,2.43,8.08,51.7
2025-01-31 12:00:00,Potato,15.27,64.55,82.77,11.75,9.83,63.86
2025-01-31 18:00:00,Potato,18.15,74.76,66.8,19.21,20.06,60.56
2025-02-01 00:00:00,Potato,21.6,78.07,77.9,12.81,14.52,94.2
2025-02-01 06:00:00,Potato,16.8,81.5,73.06,7.95,12.17,100.0
2025-02-01 12:00:00,Potato,16.06,73.53,73.56,9.22,19.36,93.13
2025-02-01 18:00:00,Potato,15.92,88.3,61.57,6.17,11.58,60.38
2025-02-02 00:00:00,Potato,13.22,72.59,64.44,14.62,11.97,65.18
2025-02-02 06:00:00,Potato,16.8,81.2,77.34,6.1,15.4,84.8
2025-02-02 12:00:00,Potato,18.9,82.68,74.47,11.02,15.63,90.82
2025-02-02 18:00:00,Potato,33.98,33.61,27.26,0.43,10.31,31.92
2025-02-03 00:00:00,Potato,31.77,48.39,37.99,2.06,9.56,31.66
2025-02-03 06:00:00,Potato,20.35,80.0,81.58,11.84,17.86,72.21
2025-02-03 12:00:00,Potato,16.01,78.86,78.4,14.72,14.89,90.05
2025-02-03 18:00:00,Potato,21.25,86.54,74.14,10.54,12.7,78.41
2025-02-04 00:00:00,Potato,26.48,32.7,21.04,0.86,11.86,43.17
2025-02-04 06:00:00,Potato,16.78,85.79,88.24,17.34,15.66,61.13
2025-02-04 12:00:00,Potato,19.44,74.36,84.76,12.94,15.92,82.92
2025-02-04 18:00:00,Potato,14.03,70.17,88.41,6.85,10.68,78.96
2025-02-05 00:00:00,Potato,31.67,44.24,39.98,0.33,9.8,22.67
2025-02-05 06:00:00,Potato,26.1,36.35,27.57,1.67,10.94,35.14
2025-02-05 12:00:00,Potato,18.79,73.32,81.22,7.2,19.58,98.35
2025-02-05 18:00:00,Potato,17.91,81.84,84.35,12.24,13.49,98.22
2025-02-06 00:00:00,Potato,26.47,38.17,54.85,0.24,10.28,41.58
2025-02-06 06:00:00,Potato,38.78,29.15,92.13,0.47,24.35,16.9
2025-02-06 12:00:00,Potato,20.92,76.97,72.76,5.14,15.85,82.56
2025-02-06 18:00:00,Potato,22.11,77.91,65.72,16.84,18.99,73.22
2025-02-07 00:00:00,Potato,33.44,47.06,36.22,2.37,10.49,33.77
2025-02-07 06:00:00,Potato,20.25,81.12,71.27,11.93,14.01,86.62
2025-02-07 12:00:00,Potato,22.15,85.86,86.29,19.4,16.56,69.18
2025-02-07 18:00:00,Potato,18.38,74.37,74.07,6.23,18.45,83.81
2025-02-08 00:00:00,Potato,17.05,73.81,78.84,7.59,15.91,97.51
2025-02-08 06:00:00,Potato,21.84,78.98,75.96,7.42,15.92,85.32
2025-02-08 12:00:00,Potato,18.81,72.05,75.98,11.88,19.94,93.5
2025-02-08 18:00:00,Potato,29.17,33.84,49.5,1.54,8.4,33.38
2025-02-09 00:00:00,Potato,14.57,74.77,80.97,12.03,10.9,54.8
2025-02-09 06:00:00,Potato,17.71,71.08,83.04,13.76,16.19,92.7
2025-02-09 12:00:00,Potato,17.78,83.27,74.59,12.24,17.36,100.0
2025-02-09 18:00:00,Potato,22.39,80.01,69.28,18.0,14.23,47.7
2025-02-10 00:00:00,Potato,17.15,88.63,80.17,11.26,15.06,68.15
2025-02-10 06:00:00,Potato,38.7,94.94,13.07,24.38,29.52,12.37
2025-02-10 12:00:00,Potato,20.16,88.97,63.68,5.09,12.31,76.86
2025-02-10 18:00:00,Potato,17.52,63.02,87.66,17.55,12.0,75.76
2025-02-11 00:00:00,Potato,19.48,77.1,83.32,12.47,18.44,99.17
2025-02-11 06:00:00,Potato,16.29,72.15,73.7,10.58,13.48,87.15
2025-02-11 12:00:00,Potato,20.99,75.37,78.87,13.94,12.56,96.47
2025-02-11 18:00:00,Potato,22.16,86.13,72.88,5.56,12.62,54.01
2025-02-12 00:00:00,Potato,17.43,71.17,83.76,9.27,16.26,99.48
2025-02-12 06:00:00,Potato,17.21,78.17,68.2,18.87,9.45,70.07
2025-02-12 12:00:00,Potato,33.68,52.87,57.23,1.56,8.02,41.45
2025-02-12 18:00:00,Potato,26.76,39.97,43.99,0.03,8.0,32.89
2025-02-13 00:00:00,Potato,27.33,58.8,31.39,1.14,7.05,27.04
2025-02-13 06:00:00,Potato,18.17,76.37,82.93,14.16,15.98,90.15
2025-02-13 12:00:00,Potato,25.66,49.56,23.58,1.46,10.95,51.74
