Time,Plant_Type,Temperature_C,Humidity_%,Soil_Moisture_%,Rainfall_mm,Dew_Point_C,Health_Percentage
2024-01-01 00:00:00,Rice,34.36,78.76,81.96,5.65,19.03,52.52
2024-01-01 06:00:00,Rice,35.19,54.97,58.8,0.64,15.91,36.52
2024-01-01 12:00:00,Rice,28.67,74.37,76.48,11.12,21.12,88.03
2024-01-01 18:00:00,Rice,36.8,47.77,40.57,0.14,18.04,26.82
2024-01-02 00:00:00,Rice,31.64,82.13,84.48,8.05,20.78,95.3
2024-01-02 06:00:00,Rice,22.45,69.25,87.28,14.26,21.05,64.6
2024-01-02 12:00:00,Rice,24.4,83.7,89.09,18.97,28.63,54.21
2024-01-02 18:00:00,Rice,30.8,74.21,75.35,10.43,21.13,95.25
2024-01-03 00:00:00,Rice,31.91,72.98,81.58,5.06,26.52,100.0
2024-01-03 06:00:00,Rice,27.51,82.95,71.74,11.23,22.65,87.6
2024-01-03 12:00:00,Rice,27.28,79.56,80.94,13.87,23.78,89.43
2024-01-03 18:00:00,Rice,32.02,76.64,74.81,10.27,17.33,55.52
2024-01-04 00:00:00,Rice,29.45,77.63,74.72,14.08,21.99,90.25
2024-01-04 06:00:00,Rice,27.03,83.95,72.42,13.08,25.07,100.0
2024-01-04 12:00:00,Rice,36.68,46.18,55.7,2.42,19.48,35.27
2024-01-04 18:00:00,Rice,32.63,62.19,85.82,11.68,22.43,55.34
2024-01-05 00:00:00,Rice,27.36,74.85,84.14,10.19,25.62,91.58
2024-01-05 06:00:00,Rice,26.99,79.14,70.55,10.03,20.41,84.83
2024-01-05 12:00:00,Rice,44.4,88.15,17.34,31.42,32.66,16.01
2024-01-05 18:00:00,Rice,28.97,85.39,62.71,8.45,19.42,46.98
2024-01-06 00:00:00,Rice,30.81,76.34,60.5,6.85,25.39,52.3
2024-01-06 06:00:00,Rice,43.38,96.41,11.7,1.32,35.0,18.39
2024-01-06 12:00:00,Rice,25.14,87.12,62.79,18.31,25.23,63.73
2024-01-06 18:00:00,Rice,42.98,49.26,51.2,0.25,15.81,44.47
2024-01-07 00:00:00,Rice,22.12,80.58,63.04,3.09,19.09,69.06
2024-01-07 06:00:00,Rice,29.99,74.88,73.56,12.46,25.2,100.0
2024-01-07 12:00:00,Rice,29.39,72.3,62.81,7.51,20.17,80.85
2024-01-07 18:00:00,Rice,32.33,78.15,75.08,11.37,19.54,70.23
2024-01-08 00:00:00,Rice,25.17,72.66,79.68,14.4,27.63,99.63
2024-01-08 06:00:00,Rice,50.0,37.77,92.94,0.34,34.9,29.69
2024-01-08 12:00:00,Rice,29.41,79.22,62.92,19.83,18.82,66.1
2024-01-08 18:00:00,Rice,31.13,70.22,70.78,16.76,27.53,80.58
2024-01-09 00:00:00,Rice,47.11,94.13,97.98,33.35,33.37,8.83
2024-01-09 06:00:00,Rice,28.26,74.3,78.14,10.91,20.24,82.22
2024-01-09 12:00:00,Rice,38.24,45.67,25.08,2.31,16.08,38.54
2024-01-09 18:00:00,Rice,31.44,76.46,89.28,8.49,27.34,63.38
2024-01-10 00:00:00,Rice,23.02,88.95,60.76,17.21,26.05,60.86
2024-01-10 06:00:00,Rice,28.84,79.9,80.72,7.8,27.64,98.54
2024-01-10 12:00:00,Rice,29.95,68.94,72.59,9.05,26.85,49.71
2024-01-10 18:00:00,Rice,28.44,72.6,77.1,9.34,23.19,100.0
2024-01-11 00:00:00,Rice,22.59,79.52,71.24,11.55,28.13,68.49
2024-01-11 06:00:00,Rice,34.22,72.87,77.26,13.94,22.96,66.01
2024-01-11 12:00:00,Rice,45.86,26.04,99.05,0.04,31.66,20.77
2024-01-11 18:00:00,Rice,35.21,38.46,52.58,0.35,18.48,40.47
2024-01-12 00:00:00,Rice,41.62,38.46,52.14,0.53,18.75,45.27
2024-01-12 06:00:00,Rice,32.09,88.06,70.22,17.59,22.58,72.13
2024-01-12 12:00:00,Rice,35.93,45.16,56.1,2.48,16.6,47.99
2024-01-12 18:00:00,Rice,47.73,29.93,94.48,31.29,35.0,16.38
2024-01-13 00:00:00,Rice,28.46,78.24,70.86,9.42,27.1,93.21
2024-01-13 06:00:00,Rice,25.59,71.09,80.51,13.22,25.65,89.78
2024-01-13 12:00:00,Rice,31.91,75.56,75.61,13.13,27.58,98.01
2024-01-13 18:00:00,Rice,30.44,76.36,78.38,14.06,20.89,98.43
2024-01-14 00:00:00,Rice,28.28,71.78,70.84,6.18,25.19,100.0
2024-01-14 06:00:00,Rice,25.71,68.26,86.06,19.37,17.16,78.39
2024-01-14 12:00:00,Rice,31.24,84.89,77.92,5.74,24.43,100.0
2024-01-14 18:00:00,Rice,27.91,78.36,78.83,18.32,17.59,62.27
2024-01-15 00:00:00,Rice,50.0,27.82,19.3,0.71,35.0,6.17
2024-01-15 06:00:00,Rice,30.7,72.44,80.27,14.11,26.58,100.0
2024-01-15 12:00:00,Rice,40.52,57.98,36.73,2.6,15.23,26.41
2024-01-15 18:00:00,Rice,43.5,95.95,93.81,27.03,33.9,5.47
2024-01-16 00:00:00,Rice,31.05,85.0,82.19,14.97,24.44,99.06
2024-01-16 06:00:00,Rice,31.68,73.43,79.09,11.72,24.95,86.72
2024-01-16 12:00:00,Rice,29.7,81.58,77.8,10.2,26.82,98.67
2024-01-16 18:00:00,Rice,23.74,83.14,60.86,13.55,26.15,56.67
2024-01-17 00:00:00,Rice,25.1,78.85,75.26,8.92,23.5,100.0
2024-01-17 06:00:00,Rice,38.57,55.87,44.88,2.85,15.74,41.09
2024-01-17 12:00:00,Rice,25.36,89.44,73.77,11.37,21.27,68.0
2024-01-17 18:00:00,Rice,25.9,72.08,72.28,11.41,21.46,91.03
2024-01-18 00:00:00,Rice,39.27,35.17,46.7,0.58,15.2,30.76
2024-01-18 06:00:00,Rice,25.84,73.1,76.91,8.64,24.03,96.82
2024-01-18 12:00:00,Rice,30.6,71.23,79.42,13.74,27.37,87.84
2024-01-18 18:00:00,Rice,36.66,41.11,28.37,1.45,18.09,35.15
2024-01-19 00:00:00,Rice,31.72,69.07,61.1,15.13,28.64,61.92
2024-01-19 06:00:00,Rice,28.92,69.54,67.27,9.41,17.26,59.58
2024-01-19 12:00:00,Rice,27.29,83.36,71.8,10.94,25.43,97.38
2024-01-19 18:00:00,Rice,29.63,74.09,82.36,5.17,20.69,63.55
2024-01-20 00:00:00,Rice,29.42,89.62,70.68,13.3,20.08,51.58
2024-01-20 06:00:00,Rice,26.31,72.6,74.28,13.97,20.64,93.14
2024-01-20 12:00:00,Rice,34.77,73.14,63.36,19.48,28.25,71.52
2024-01-20 18:00:00,Rice,34.08,78.01,76.7,7.76,27.0,53.83
2024-01-21 00:00:00,Rice,27.98,73.64,77.61,6.15,24.88,86.64
2024-01-21 06:00:00,Rice,28.92,71.42,61.55,5.29,17.82,79.51
2024-01-21 12:00:00,Rice,30.67,80.22,73.82,12.6,24.77,88.59
2024-01-21 18:00:00,Rice,50.0,97.2,91.24,0.13,35.0,12.87
2024-01-22 00:00:00,Rice,36.26,36.05,51.81,0.49,15.82,46.35
2024-01-22 06:00:00,Rice,33.4,84.86,71.77,10.47,21.9,69.64
2024-01-22 12:00:00,Rice,30.23,73.48,77.54,14.0,23.07,96.12
2024-01-22 18:00:00,Rice,31.58,75.02,79.42,6.39,26.35,99.33
2024-01-23 00:00:00,Rice,33.62,66.25,83.66,8.3,20.23,71.79
2024-01-23 06:00:00,Rice,42.89,54.64,33.68,0.33,19.23,22.88
2024-01-23 12:00:00,Rice,32.36,68.42,64.5,15.28,26.36,69.83
2024-01-23 18:00:00,Rice,27.42,83.63,72.72,10.83,23.21,99.33
2024-01-24 00:00:00,Rice,43.53,85.24,95.06,33.98,34.96,13.57
2024-01-24 06:00:00,Rice,29.03,76.36,79.1,12.36,27.47,100.0
2024-01-24 12:00:00,Rice,23.47,85.49,89.55,5.12,28.97,71.56
2024-01-24 18:00:00,Rice,22.71,84.48,70.06,3.08,21.34,63.12
