Time,Plant_Type,Temperature_C,Humidity_%,Soil_Moisture_%,Rainfall_mm,Dew_Point_C,Health_Percentage
2024-11-08 12:00:00,Soybean,32.27,72.49,62.42,9.47,16.47,65.66
2024-11-08 18:00:00,Soybean,29.55,73.24,67.9,12.09,24.68,91.25
2024-11-09 00:00:00,Soybean,36.34,38.86,26.45,0.5,14.91,29.18
2024-11-09 06:00:00,Soybean,27.59,67.54,58.49,6.88,26.1,75.85
2024-11-09 12:00:00,Soybean,40.38,28.63,12.93,23.47,31.56,17.14
2024-11-09 18:00:00,Soybean,24.29,69.75,60.31,8.19,24.79,76.71
2024-11-10 00:00:00,Soybean,22.83,73.73,61.3,10.27,15.37,57.09
2024-11-10 06:00:00,Soybean,25.27,68.69,71.77,12.77,23.68,91.74
2024-11-10 12:00:00,Soybean,24.26,68.37,74.09,10.51,16.54,99.29
2024-11-10 18:00:00,Soybean,27.1,66.12,65.72,11.05,17.27,97.83
2024-11-11 00:00:00,Soybean,26.4,65.51,65.61,12.15,19.09,69.65
2024-11-11 06:00:00,Soybean,20.06,71.23,69.51,11.94,17.02,99.08
2024-11-11 12:00:00,Soybean,31.67,72.23,76.2,3.45,15.3,47.47
2024-11-11 18:00:00,Soybean,36.05,32.61,48.68,0.52,11.7,41.63
2024-11-12 00:00:00,Soybean,27.64,65.27,66.45,12.37,15.67,97.35
2024-11-12 06:00:00,Soybean,38.36,45.15,42.55,0.35,14.17,39.08
2024-11-12 12:00:00,Soybean,31.24,57.65,76.01,9.31,19.41,51.78
2024-11-12 18:00:00,Soybean,29.25,67.86,77.78,6.29,16.22,97.41
2024-11-13 00:00:00,Soybean,25.07,68.62,79.5,12.9,21.51,93.7
2024-11-13 06:00:00,Soybean,35.62,47.11,24.51,1.76,14.45,39.35
2024-11-13 12:00:00,Soybean,25.01,69.39,70.62,11.94,17.81,93.53
2024-11-13 18:00:00,Soybean,38.45,36.79,53.23,0.32,12.53,32.86
2024-11-14 00:00:00,Soybean,40.39,25.99,95.25,28.78,29.97,17.37
2024-11-14 06:00:00,Soybean,18.6,62.49,82.96,3.37,17.81,61.88
2024-11-14 12:00:00,Soybean,28.11,59.97,56.66,15.93,13.2,78.63
2024-11-14 18:00:00,Soybean,20.66,61.92,68.24,7.12,20.14,91.63
2024-11-15 00:00:00,Soybean,38.91,38.24,41.31,1.42,12.07,42.6
2024-11-15 06:00:00,Soybean,40.73,32.13,22.69,1.49,13.05,28.15
2024-11-15 12:00:00,Soybean,38.35,30.51,31.37,2.25,11.07,39.51
2024-11-15 18:00:00,Soybean,40.77,34.18,33.0,2.33,12.17,19.94
2024-11-16 00:00:00,Soybean,41.98,93.6,10.3,0.64,30.38,17.52
2024-11-16 06:00:00,Soybean,20.81,72.88,78.12,8.04,22.02,93.85
2024-11-16 12:00:00,Soybean,35.84,39.71,38.33,1.06,14.46,25.6
2024-11-16 18:00:00,Soybean,20.11,78.5,66.72,6.19,22.03,68.09
2024-11-17 00:00:00,Soybean,32.0,64.82,77.1,11.68,22.39,66.2
2024-11-17 06:00:00,Soybean,22.14,60.65,65.57,12.7,21.78,100.0
2024-11-17 12:00:00,Soybean,30.59,76.37,69.41,8.11,25.9,71.53
2024-11-17 18:00:00,Soybean,19.21,60.81,72.74,2.89,26.23,63.79
2024-11-18 00:00:00,Soybean,39.08,40.25,32.49,2.03,14.8,27.65
2024-11-18 06:00:00,Soybean,32.25,53.18,76.08,17.42,19.27,63.95
2024-11-18 12:00:00,Soybean,19.39,75.27,69.07,2.26,16.09,54.85
2024-11-18 18:00:00,Soybean,41.51,35.09,41.3,2.77,13.88,39.15
2024-11-19 00:00:00,Soybean,31.79,62.31,76.37,14.12,12.6,57.7
2024-11-19 06:00:00,Soybean,21.33,72.03,74.82,13.88,18.46,95.6
2024-11-19 12:00:00,Soybean,41.67,37.92,97.55,20.5,28.64,6.53
2024-11-19 18:00:00,Soybean,21.28,62.31,82.35,2.77,16.5,59.1
2024-11-20 00:00:00,Soybean,21.38,74.94,58.94,18.93,16.94,65.48
2024-11-20 06:00:00,Soybean,31.48,64.61,71.8,12.99,26.29,75.43
2024-11-20 12:00:00,Soybean,23.32,64.72,72.06,11.0,23.26,100.0
2024-11-20 18:00:00,Soybean,28.75,74.1,58.12,11.05,16.38,70.43
2024-11-21 00:00:00,Soybean,20.35,64.14,55.91,11.68,25.15,81.8
2024-11-21 06:00:00,Soybean,28.94,62.39,61.14,12.78,12.27,71.51
2024-11-21 12:00:00,Soybean,36.59,47.03,35.68,2.33,11.44,29.08
2024-11-21 18:00:00,Soybean,23.1,70.32,78.5,13.86,22.67,100.0
2024-11-22 00:00:00,Soybean,27.71,70.06,65.3,8.69,18.47,95.22
2024-11-22 06:00:00,Soybean,30.31,78.41,64.3,5.05,21.94,73.45
2024-11-22 12:00:00,Soybean,23.25,71.43,77.52,7.29,20.34,85.08
2024-11-22 18:00:00,Soybean,28.43,74.15,75.77,10.93,24.4,91.24
2024-11-23 00:00:00,Soybean,32.63,52.86,74.26,14.3,25.58,78.36
2024-11-23 06:00:00,Soybean,40.91,92.9,92.83,0.41,32.35,9.46
