Time,Plant_Type,Temperature_C,Humidity_%,Soil_Moisture_%,Rainfall_mm,Dew_Point_C,Health_Percentage
2025-03-13 12:00:00,Sugarcane,21.81,56.2,72.14,15.33,16.99,68.94
2025-03-13 18:00:00,Sugarcane,38.47,40.06,33.59,2.31,14.39,24.97
2025-03-14 00:00:00,Sugarcane,29.42,61.3,67.95,8.99,21.04,78.54
2025-03-14 06:00:00,Sugarcane,20.42,68.17,73.38,6.05,21.95,99.46
2025-03-14 12:00:00,Sugarcane,23.44,65.61,79.86,11.61,19.53,100.0
2025-03-14 18:00:00,Sugarcane,41.45,34.75,40.3,1.2,13.79,45.8
2025-03-15 00:00:00,Sugarcane,20.51,63.77,75.24,9.0,22.47,93.67
2025-03-15 06:00:00,Sugarcane,25.06,53.89,61.09,4.91,26.77,61.1
2025-03-15 12:00:00,Sugarcane,40.64,44.13,37.9,0.58,13.44,25.5
2025-03-15 18:00:00,Sugarcane,35.74,39.75,42.9,1.1,13.23,48.61
2025-03-16 00:00:00,Sugarcane,29.19,72.11,74.14,7.84,19.72,100.0
2025-03-16 06:00:00,Sugarcane,21.59,70.75,74.63,9.83,16.43,86.12
2025-03-16 12:00:00,Sugarcane,24.93,73.72,81.11,3.43,25.35,61.82
2025-03-16 18:00:00,Sugarcane,20.78,52.47,68.15,4.58,13.38,58.21
2025-03-17 00:00:00,Sugarcane,26.92,69.27,65.44,5.41,24.45,100.0
2025-03-17 06:00:00,Sugarcane,29.32,60.65,72.84,7.42,15.77,88.26
2025-03-17 12:00:00,Sugarcane,24.52,55.34,66.51,6.16,13.5,74.22
2025-03-17 18:00:00,Sugarcane,22.26,66.86,74.59,8.0,20.93,91.23
2025-03-18 00:00:00,Sugarcane,25.59,60.4,75.04,8.66,15.58,91.15
2025-03-18 06:00:00,Sugarcane,33.63,41.66,34.67,0.44,13.83,44.67
2025-03-18 12:00:00,Sugarcane,40.08,96.63,22.41,1.19,31.98,11.71
2025-03-18 18:00:00,Sugarcane,22.73,67.02,74.61,12.58,18.42,90.5
2025-03-19 00:00:00,Sugarcane,49.11,25.41,21.56,0.54,33.74,21.64
2025-03-19 06:00:00,Sugarcane,47.1,35.57,99.38,34.32,29.48,9.87
2025-03-19 12:00:00,Sugarcane,20.96,59.21,73.01,7.67,18.62,64.14
2025-03-19 18:00:00,Sugarcane,21.59,62.94,65.71,9.82,22.86,78.57
2025-03-20 00:00:00,Sugarcane,27.49,74.27,69.58,11.14,18.27,87.61
2025-03-20 06:00:00,Sugarcane,21.76,67.71,76.62,4.11,21.74,93.04
2025-03-20 12:00:00,Sugarcane,20.43,79.42,71.55,3.25,16.26,55.06
2025-03-20 18:00:00,Sugarcane,41.22,40.86,27.08,1.91,12.61,24.56
2025-03-21 00:00:00,Sugarcane,24.88,71.93,71.02,11.64,16.34,86.09
2025-03-21 06:00:00,Sugarcane,33.52,40.79,38.43,2.58,10.49,37.24
2025-03-21 12:00:00,Sugarcane,30.85,79.8,83.17,18.31,12.09,50.17
2025-03-21 18:00:00,Sugarcane,41.03,42.39,26.54,2.75,12.32,21.13
