Time,Plant_Type,Temperature_C,Humidity_%,Soil_Moisture_%,Rainfall_mm,Dew_Point_C,Health_Percentage
2024-09-07 00:00:00,Tomato,25.19,71.08,66.2,9.44,15.47,98.31
2024-09-07 06:00:00,Tomato,27.18,78.23,69.84,7.88,18.79,100.0
2024-09-07 12:00:00,Tomato,35.03,39.83,28.23,1.16,11.43,23.46
2024-09-07 18:00:00,Tomato,20.49,76.53,64.05,11.08,16.55,95.29
2024-09-08 00:00:00,Tomato,29.23,71.37,72.88,12.06,22.17,52.74
2024-09-08 06:00:00,Tomato,35.89,38.69,35.89,1.56,13.28,27.88
2024-09-08 12:00:00,Tomato,38.75,41.29,24.64,1.22,13.44,28.68
2024-09-08 18:00:00,Tomato,29.75,59.97,79.79,5.5,23.4,78.76
2024-09-09 00:00:00,Tomato,20.12,79.94,62.42,5.44,18.52,100.0
2024-09-09 06:00:00,Tomato,26.9,75.3,64.25,9.39,16.55,83.93
2024-09-09 12:00:00,Tomato,21.05,79.41,74.27,8.86,19.28,70.05
2024-09-09 18:00:00,Tomato,22.12,71.74,68.04,7.52,15.64,100.0
2024-09-10 00:00:00,Tomato,21.58,68.42,66.19,8.67,17.6,89.16
2024-09-10 06:00:00,Tomato,27.04,71.18,66.51,4.28,18.49,96.17
2024-09-10 12:00:00,Tomato,26.9,64.06,55.32,14.16,23.37,49.46
2024-09-10 18:00:00,Tomato,22.6,75.65,62.16,8.27,16.01,84.16
2024-09-11 00:00:00,Tomato,32.59,38.42,38.19,1.76,11.58,29.74
2024-09-11 06:00:00,Tomato,26.22,57.34,57.91,9.78,19.27,76.23
2024-09-11 12:00:00,Tomato,23.6,82.98,67.2,14.43,15.88,56.98
2024-09-11 18:00:00,Tomato,35.53,48.09,22.03,2.42,11.45,26.79
2024-09-12 00:00:00,Tomato,29.45,71.71,75.36,12.37,22.6,67.66
2024-09-12 06:00:00,Tomato,23.11,75.87,72.99,7.23,16.5,89.06
2024-09-12 12:00:00,Tomato,21.41,68.78,71.15,7.63,17.7,97.81
2024-09-12 18:00:00,Tomato,24.73,71.28,68.99,7.45,15.38,94.28
2024-09-13 00:00:00,Tomato,19.09,60.46,53.12,3.52,19.32,53.58
2024-09-13 06:00:00,Tomato,46.55,32.38,14.91,1.34,28.66,18.31
2024-09-13 12:00:00,Tomato,26.43,66.91,71.88,7.19,16.19,90.53
2024-09-13 18:00:00,Tomato,30.27,84.26,53.79,5.46,21.27,54.88
2024-09-14 00:00:00,Tomato,26.86,74.88,64.63,8.53,18.3,93.18
2024-09-14 06:00:00,Tomato,29.54,60.94,51.73,12.75,17.25,62.39
2024-09-14 12:00:00,Tomato,24.05,72.15,61.9,10.11,16.81,93.24
2024-09-14 18:00:00,Tomato,31.36,35.08,23.69,1.21,14.23,40.03
2024-09-15 00:00:00,Tomato,26.93,67.0,67.59,10.66,16.11,58.08
2024-09-15 06:00:00,Tomato,23.13,70.15,63.93,7.29,20.04,90.75
