Time,Plant_Type,Temperature_C,Humidity_%,Soil_Moisture_%,Rainfall_mm,Dew_Point_C,Health_Percentage
2024-03-03 12:00:00,Wheat,16.99,56.11,66.46,3.6,7.16,71.61
2024-03-03 18:00:00,Wheat,27.71,31.87,34.63,2.57,9.1,40.95
2024-03-04 00:00:00,Wheat,29.83,38.22,29.42,1.38,6.79,28.05
2024-03-04 06:00:00,Wheat,22.27,52.01,62.39,5.16,11.14,94.28
2024-03-04 12:00:00,Wheat,23.99,62.49,59.53,6.64,17.94,66.96
2024-03-04 18:00:00,Wheat,22.06,63.73,54.88,3.63,11.4,100.0
2024-03-05 00:00:00,Wheat,23.02,62.86,54.19,9.25,14.1,93.5
2024-03-05 06:00:00,Wheat,42.71,88.38,97.88,30.06,24.92,5.0
2024-03-05 12:00:00,Wheat,20.52,60.04,65.94,7.09,19.7,51.6
2024-03-05 18:00:00,Wheat,35.26,38.58,25.6,0.88,9.55,32.97
2024-03-06 00:00:00,Wheat,27.16,37.27,39.26,0.91,9.15,36.45
2024-03-06 06:00:00,Wheat,19.45,59.38,50.19,5.71,14.79,95.76
2024-03-06 12:00:00,Wheat,22.46,68.06,50.72,10.67,15.34,96.14
2024-03-06 18:00:00,Wheat,27.31,39.95,31.66,2.57,7.61,30.7
2024-03-07 00:00:00,Wheat,32.39,30.94,22.3,2.73,8.35,34.89
2024-03-07 06:00:00,Wheat,20.17,56.34,49.51,13.38,14.83,78.89
2024-03-07 12:00:00,Wheat,22.29,61.53,58.94,12.24,10.09,67.36
2024-03-07 18:00:00,Wheat,22.83,61.82,68.52,12.9,13.58,65.86
2024-03-08 00:00:00,Wheat,19.53,59.45,55.43,3.41,11.12,85.59
2024-03-08 06:00:00,Wheat,18.37,59.05,46.21,1.09,7.1,56.1
2024-03-08 12:00:00,Wheat,18.65,66.05,55.08,8.15,14.1,89.68
2024-03-08 18:00:00,Wheat,21.7,56.9,51.71,7.57,16.99,96.38
2024-03-09 00:00:00,Wheat,35.94,32.75,22.63,1.18,7.11,29.16
2024-03-09 06:00:00,Wheat,18.71,73.52,64.71,14.14,7.02,69.98
2024-03-09 12:00:00,Wheat,19.55,62.08,50.89,9.18,10.92,85.61
2024-03-09 18:00:00,Wheat,20.51,51.42,61.27,3.72,12.84,97.84
2024-03-10 00:00:00,Wheat,23.14,61.59,50.86,1.16,15.27,83.17
2024-03-10 06:00:00,Wheat,28.09,30.66,38.05,1.6,5.71,31.08
2024-03-10 12:00:00,Wheat,18.54,61.05,54.58,1.7,8.6,73.31
2024-03-10 18:00:00,Wheat,25.15,56.19,60.77,11.77,10.58,56.28
2024-03-11 00:00:00,Wheat,31.02,38.22,35.97,2.57,9.58,31.02
2024-03-11 06:00:00,Wheat,22.21,64.72,61.17,6.99,9.17,60.36
2024-03-11 12:00:00,Wheat,23.34,53.09,55.19,3.23,15.17,95.69
2024-03-11 18:00:00,Wheat,18.73,61.99,60.31,6.83,9.83,81.96
2024-03-12 00:00:00,Wheat,23.26,58.02,44.22,1.44,13.57,76.65
2024-03-12 06:00:00,Wheat,20.33,50.47,52.4,9.81,13.67,89.75
2024-03-12 12:00:00,Wheat,35.16,92.84,93.14,34.76,23.02,12.08
2024-03-12 18:00:00,Wheat,21.25,61.07,52.31,7.88,16.1,95.54
2024-03-13 00:00:00,Wheat,18.63,48.42,47.78,1.92,11.45,58.02
